station,year,Ntotal,chl_a,secchi,LUSI,TOM,moisture_content,mean_grain_size,sand,silt_clay,shoot_count,ag_biomass_wet,bg_biomass_wet
Poda,2013,22.46,4.47,3,6.25,2.08944694138218,27.0986079994343,73.8156063287336,87.2068465908119,11.2322515562243,2092.42618741977,773.530166880616,202.156611039795
Poda,2013,22.46,4.47,3,6.25,2.08944694138218,27.0986079994343,73.8156063287336,87.2068465908119,11.2322515562243,2092.42618741977,773.530166880616,202.156611039795
Poda,2013,22.46,4.47,3,6.25,2.08944694138218,27.0986079994343,73.8156063287336,87.2068465908119,11.2322515562243,2092.42618741977,773.530166880616,202.156611039795
Poda,2013,22.46,4.47,3,6.25,2.08944694138218,27.0986079994343,73.8156063287336,87.2068465908119,11.2322515562243,2092.42618741977,773.530166880616,202.156611039795
Poda,2014,22.46,4.47,3,6.25,2.03779821801422,25.7374167725373,74.2857783272179,89.2787742287559,8.71458214558234,1838.2541720154,639.101412066752,236.662387676508
Poda,2014,22.46,4.47,3,6.25,2.03779821801422,25.7374167725373,74.2857783272179,89.2787742287559,8.71458214558234,1838.2541720154,639.101412066752,236.662387676508
Poda,2014,22.46,4.47,3,6.25,2.03779821801422,25.7374167725373,74.2857783272179,89.2787742287559,8.71458214558234,1838.2541720154,639.101412066752,236.662387676508
Poda,2014,22.46,4.47,3,6.25,2.03779821801422,25.7374167725373,74.2857783272179,89.2787742287559,8.71458214558234,1838.2541720154,639.101412066752,236.662387676508
Otmanli,2013,20.08,3.67,4.25,6.25,2.15477707771637,30.8122997667314,73.5410688632105,84.9709317255305,12.0718771000493,2012.83697047497,469.627727856226,658.382541720154
Otmanli,2013,20.08,3.67,4.25,6.25,2.15477707771637,30.8122997667314,73.5410688632105,84.9709317255305,12.0718771000493,2012.83697047497,469.627727856226,658.382541720154
Otmanli,2013,20.08,3.67,4.25,6.25,2.15477707771637,30.8122997667314,73.5410688632105,84.9709317255305,12.0718771000493,2012.83697047497,469.627727856226,658.382541720154
Otmanli,2013,20.08,3.67,4.25,6.25,2.15477707771637,30.8122997667314,73.5410688632105,84.9709317255305,12.0718771000493,2012.83697047497,469.627727856226,658.382541720154
Otmanli,2014,20.08,3.67,4.25,6.25,2.40442118774568,26.1282127995762,75.983581407888,86.6882604360328,4.49927994517416,1427.47111681643,431.681643132221,487.214377406932
Otmanli,2014,20.08,3.67,4.25,6.25,2.40442118774568,26.1282127995762,75.983581407888,86.6882604360328,4.49927994517416,1427.47111681643,431.681643132221,487.214377406932
Otmanli,2014,20.08,3.67,4.25,6.25,2.40442118774568,26.1282127995762,75.983581407888,86.6882604360328,4.49927994517416,1427.47111681643,431.681643132221,487.214377406932
Otmanli,2014,20.08,3.67,4.25,6.25,2.40442118774568,26.1282127995762,75.983581407888,86.6882604360328,4.49927994517416,1427.47111681643,431.681643132221,487.214377406932
Vromos,2014,16.7,3.49,NA,4,2.73453511296877,24.0062169513492,74.9644148097844,95.7669922188661,3.30778136758482,1905.00641848524,540.513478818999,647.702182284981
Vromos,2014,16.7,3.49,NA,4,2.73453511296877,24.0062169513492,74.9644148097844,95.7669922188661,3.30778136758482,1905.00641848524,540.513478818999,647.702182284981
Vromos,2014,16.7,3.49,NA,4,2.73453511296877,24.0062169513492,74.9644148097844,95.7669922188661,3.30778136758482,1905.00641848524,540.513478818999,647.702182284981
Vromos,2014,16.7,3.49,NA,4,2.73453511296877,24.0062169513492,74.9644148097844,95.7669922188661,3.30778136758482,1905.00641848524,540.513478818999,647.702182284981
Gradina,2013,18.26,3.02,5.5,3.75,1.38457955136365,26.8786165160804,75.483728287364,90.4393379149226,4.24841565282489,1170.73170731707,701.694480102696,532.477535301669
Gradina,2013,18.26,3.02,5.5,3.75,1.38457955136365,26.8786165160804,75.483728287364,90.4393379149226,4.24841565282489,1170.73170731707,701.694480102696,532.477535301669
Gradina,2013,18.26,3.02,5.5,3.75,1.38457955136365,26.8786165160804,75.483728287364,90.4393379149226,4.24841565282489,1170.73170731707,701.694480102696,532.477535301669
Gradina,2013,18.26,3.02,5.5,3.75,1.38457955136365,26.8786165160804,75.483728287364,90.4393379149226,4.24841565282489,1170.73170731707,701.694480102696,532.477535301669
Gradina,2014,18.26,3.02,5.5,3.75,1.36553401773813,25.9194863672124,75.4911672087208,97.0706513768236,0.773403128262549,1483.95378690629,722.002567394095,1430.62901155327
Gradina,2014,18.26,3.02,5.5,3.75,1.36553401773813,25.9194863672124,75.4911672087208,97.0706513768236,0.773403128262549,1483.95378690629,722.002567394095,1430.62901155327
Gradina,2014,18.26,3.02,5.5,3.75,1.36553401773813,25.9194863672124,75.4911672087208,97.0706513768236,0.773403128262549,1483.95378690629,722.002567394095,1430.62901155327
Gradina,2014,18.26,3.02,5.5,3.75,1.36553401773813,25.9194863672124,75.4911672087208,97.0706513768236,0.773403128262549,1483.95378690629,722.002567394095,1430.62901155327
Ropotamo,2013,23.78,4.73,6.38,2.5,2.4450601148822,29.3720684440389,146.834126943773,87.8934521780849,3.5431341885099,2115.53273427471,784.672657252888,670.064184852375
Ropotamo,2013,23.78,4.73,6.38,2.5,2.4450601148822,29.3720684440389,146.834126943773,87.8934521780849,3.5431341885099,2115.53273427471,784.672657252888,670.064184852375
Ropotamo,2013,23.78,4.73,6.38,2.5,2.4450601148822,29.3720684440389,146.834126943773,87.8934521780849,3.5431341885099,2115.53273427471,784.672657252888,670.064184852375
Ropotamo,2013,23.78,4.73,6.38,2.5,2.4450601148822,29.3720684440389,146.834126943773,87.8934521780849,3.5431341885099,2115.53273427471,784.672657252888,670.064184852375
